No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
S13 ,Sandstone,Sheikh Mohammed ,24.16283,32.86833,Sandstone,U ,1,,,,,,,,,,,,,,
S14 ,Sandstone,Sidi el-Hasan ,24.34983,32.92801,Sandstone,GR ,3,,,,,,,,,,,,,,
S15 ,Sandstone,el-Hadedoon ,24.30917,32.91133,Sandstone,GR ,3,,,,,,,,,,,,,,
S16 ,Sandstone,Gebel el-Hammam ,24.22717,32.87483,Sandstone,P ,4,,,,,,,,,,,,,,
S17 ,Sandstone,Gebel Qubbet el-Hawa ,24.10183,32.88767,Sandstone,U ,2,,,,,,,,,,,,,,
S18 ,Sandstone,Aswan ,24.06176,32.89501,Sandstone,U ,4,,,,,,,,,,,,,,
S19 ,Sandstone,Dabod ,23.89667,32.85333,Sandstone,GR ,ULN,,,,,,,,,,,,,,
S20 ,Sandstone,Qertassi ,23.70001,32.88501,Sandstone,GR ,ULN,,,,,,,,,,,,,,
S21 ,Sandstone,Tafa ,23.46501,32.86177,Sandstone,GR ,ULN,,,,,,,,,,,,,,
S22 ,Sandstone,Kalabsha ,23.55083,32.86333,Sandstone,GR ,ULN,,,,,,,,,,,,,,
S23 ,Sandstone,Abu Hor / Merowa ,23.45833,32.89167,Sandstone,GR ,ULN,,,,,,,,,,,,,,
S24 ,Sandstone,Qurta ,23.04167,32.66667,Sandstone,P/GR ,ULN,,,,,,,,,,,,,,
S25 ,Sandstone,Agayba ,22.85001,32.55833,Sandstone,U ,ULN,,,,,,,,,,,,,,
S26 ,Sandstone,Tumas ,22.75167,32.14667,Sandstone,P ,ULN,,,,,,,,,,,,,,
S30 ,Sandstone,Qasr Ibrim ,22.64833,31.99167,Sandstone,P/GR ,ULN,,,,,,,,,,,,,,
S31 ,Sandstone,Nag Deira ,22.50667,31.89167,Sandstone,P ,ULN,,,,,,,,,,,,,,
S32 ,Sandstone,Gebel el-Teir ,25.50278,30.55687,Sandstone,P/GR ,3,,,,,,,,,,,,,,
S33 ,Sandstone,el-Muweih ,25.94501,33.39851,Sandstone,GR ,2,,,,,,,,,,,,,,
